city,facility_name,facility_type,beds,ward,address
Bengaluru,A. D. Halli H.C.,BBMP Health Centre,15,105,"#4, 17th Cross, 4th Stage, 3rd Block, Basaveshwaranagar, Bangalore ? 79"
Bengaluru,Anjanappa Garden H.C.,BBMP Health Centre,12,138,"Near Balemandi, Binnypet, Bangalore"
Bengaluru,Audugodi H.C.,BBMP Health Centre,18,146,"Koramangala Road, Bangalore ? 30"
Bengaluru,Avalahalli H.C.,BBMP Health Centre,10,157,"17th Main, Muneshwara Block, Avalahalli, Bangalore ? 85"
Bengaluru,Bagalur H.C.,BBMP Health Centre,8,31,"Old Bagalur Layout, Bangalore"
Bengaluru,Bapujinagar H.C.,BBMP Health Centre,14,132,"2nd Main Road, Mysore Road, Near Ragavendra Road, Bangalore ? 26"
Bengaluru,Bhuvaneshwari Nagar H.C.,BBMP Health Centre,16,57,"Opp. Ganesha temple, C.V. Raman Nagar, Bangalore ? 93"
Bengaluru,C. T. Bed H. C.,BBMP Health Centre,20,164,"4th Cross, Chennamanakere, BSK 2nd Stage, Near SSM School, Bangalore ? 28"
Bengaluru,J. P. Nagar H.C.,BBMP Health Centre,22,178,"1st Phase, Sarakki, Bangalore ? 78"
Bengaluru,K. G. Halli H.C.,BBMP Health Centre,11,23,"Behind K.G. Halli PHC, Near K.G. Halli Police Station, K.G. Halli, Bangalore"
Bengaluru,Kodihalli H.C.,BBMP Health Centre,25,112,"Next to Maruthi Towers, Airport Road, Bangalore ? 08"
Bengaluru,Kumaraswami Layout H. C.,BBMP Health Centre,18,181,"Opp. To Police Station, K.S. Layout, Bangalore"
Bengaluru,Mathikere H.C.,BBMP Health Centre,9,17,"B.K. Nagar, Bangalore ? 22"
Bengaluru,Moodalapalya H.C.,BBMP Health Centre,13,126,"GKW Layout & Saraswathi, Bangalore ? 40"
Bengaluru,Pantharpalya H.C.,BBMP Health Centre,15,131,"Mysore Road main road, Nayanadahalli, Pantharapalya, Bangalore ? 26"
Bengaluru,Shankar Nagar H. C.,BBMP Health Centre,12,44,"6th Cross, Vijayanandnagar, Mahalakshmi Layout, Bangalore ? 57"
Bengaluru,Thavarekere H. C.,BBMP Health Centre,17,152,"1st Main Road, DRC Post, Bangalore ? 76"
Bengaluru,Azadnagar UFWC,BBMP Urban Family Welfare Centre,10,141,"Kasturba Nagar, Mysore Road, Bangalore ? 26"
Bengaluru,Chellaram UFWC,BBMP Urban Family Welfare Centre,8,101,"Opp. Vihal Theatre, Magadi Main Road, Kamakshipalya, Bangalore ? 70"
Bengaluru,Cox Town UFWC,BBMP Urban Family Welfare Centre,6,,"M. M. Road, Opp. Cox Town Market, Bangalore ? 05"
Bengaluru,D. J. Halli UFWC,BBMP Urban Family Welfare Centre,9,47,"Opp. Football Stadium, Near Ananth Theatre, Bangalore ? 45"
Bengaluru,Ganganagara UFWC,BBMP Urban Family Welfare Centre,7,20,"3rd Main, 3rd Cross, HMT Layout, Banglore ? 32"
Bengaluru,Goripalya UFWC,BBMP Urban Family Welfare Centre,8,135,
Bengaluru,Jayanagar UFWC,BBMP Urban Family Welfare Centre,12,153,"9th Main, 2nd Block, Jayanagar, Bangalore -11"
Bengaluru,M.R. Palya UFWC,BBMP Urban Family Welfare Centre,9,46,"J. C. Nagar, Main Road, Bangalore ? 06"
Bengaluru,Magadi Road UFWC,BBMP Urban Family Welfare Centre,11,121,"2nd Cross, Near BWSSB Water Tank, Magadi Road, Bangalore ? 23"
Bengaluru,N. R. Colony UFWC,BBMP Urban Family Welfare Centre,10,154,"Subbaraam Shetty Road, Basavanagudi, Bangalore ? 04"
Bengaluru,R. C. Pura UFWC,BBMP Urban Family Welfare Centre,8,76,
Bengaluru,Shanthinagar UFWC,BBMP Urban Family Welfare Centre,11,116,"Near Hockey Stadium, Nanjappa Circle, Bangalore ? 27"
Bengaluru,Sirsi Road UFWC,BBMP Urban Family Welfare Centre,9,,"7th Cross, Chamarajpet, Bangalore ? 18"
Bengaluru,Sonnenahalli UFWC,BBMP Urban Family Welfare Centre,7,,"Opp. Ganesha Temple, Vanarpet, Viveknagar, Bangalore ? 47"
Bengaluru,T. R. Mill UFWC,BBMP Urban Family Welfare Centre,13,156,"Opp. Deer Park, Dhobhighat"
